Full Name,Born,Bats,Bowls,Code
David A Warner,1986-10-27,Left Handed,Right Arm Leg Break,3637
Aaron James Finch,1986-11-17,Right Handed,Left Arm Orthodox,3845
Steven Peter Devereux Smith,1989-02-06,Right Handed,Right Arm Leg Break,3756
Glenn James Maxwell,1988-10-14,Right Handed,Right Arm Off Break,3969
James Peter Faulkner,1990-04-29,Right Handed,Left Arm Medium,3930
Mitchell R Marsh,1991-10-20,Right Handed,Right Arm Medium,3912
Bradley James Haddin,1977-10-23,Right Handed,,2707
Michael J Clarke,1981-02-04,Right Handed,Left Arm Orthodox,3067
Mitchell G Johnson,1981-02-11,Left Handed,Left Arm Fast Medium,3334
Mitchell Aaron Starc,1990-01-30,Left Handed,Left Arm Fast,3830
Josh Reginald Hazlewood,1991-08-01,Left Handed,Right Arm Fast Medium,3799
Matthew Scott Wade,1987-12-26,Left Handed,,3910
Michael E K Hussey,1975-05-27,Left Handed,Right Arm Medium,3160
David J Hussey,1977-07-15,Right Handed,Right Arm Off Break,3595
George John Bailey,1982-07-09,Right Handed,Right Arm Medium,3929
James L Pattinson,1990-03-05,Left Handed,Right Arm Fast Medium,3854
Xavier J Doherty,1982-11-22,Left Handed,Left Arm Orthodox,3834
Mohammad Shahzad,1988-01-31,Right Handed,,3728
Hazratullah Zazai,1998-03-23,Left Handed,Left Arm Orthodox,4615
Rahmat Shah,1993-06-07,Right Handed,Right Arm Leg Break,4009
Hashmatullah Shahidi,1994-04-11,Left Handed,Right Arm Off Break,4239
Mohammad Nabi,1985-01-01,Right Handed,Right Arm Off Break,3665
Gulbadin Naib,1991-03-16,Right Handed,Right Arm Medium Fast,3877
Najibullah Zadran,1993-02-28,Left Handed,Right Arm Off Break,3960
Rashid Khan,1998-09-20,Right Handed,Right Arm Leg Break,4484
Dawlat Zadran,1988-03-19,Right Handed,Right Arm Fast Medium,3875
Mujeeb Ur Rahman,2001-03-28,Right Handed,Right Arm Off Break,4714
Hamid Hassan,1987-01-06,Right Handed,Right Arm Medium,3672
Karim Sadiq,1984-02-18,Right Handed,Right Arm Off Break,3664
Mohammad Asghar Afghan,1987-12-22,Right Handed,Right Arm Medium Fast,3667
Nawroz Mangal,1984-11-28,Right Handed,Right Arm Off Break,3666
Samiullah Shinwari,1987-12-31,Right Handed,Right Arm Leg Break,3669
Mirwais Ashraf,1988-06-30,Right Handed,Right Arm Fast Medium,3727
Shapoor Zadran,1987-08-07,Left Handed,Left Arm Fast Medium,3729
Amir Hamza,1991-08-15,Right Handed,Left Arm Orthodox,3935
Tamim Iqbal,1989-03-20,Left Handed,,3461
Soumya Sarkar,1993-02-25,Left Handed,Right Arm Medium Fast,4362
Imrul Kayes,1987-02-02,Left Handed,,3617
Mohammad Mahmudullah,1986-04-02,Right Handed,Right Arm Off Break,3488
Shakib Al Hasan,1987-03-24,Left Handed,Left Arm Orthodox/Left Arm Medium Fast,3426
Mushfiqur Rahim,1988-01-09,Right Handed,,3279
Sabbir Rahman,1991-11-22,Right Handed,Right Arm Leg Break,4268
Mashrafe Bin Mortaza,1983-05-10,Right Handed,Right Arm Fast Medium,2995
Taijul Islam,1992-07-02,Left Handed,Left Arm Orthodox,4324
Taskin Ahmed,1995-03-04,Left Handed,Right Arm Fast,4299
Rubel Hossain,1990-01-01,Right Handed,Right Arm Medium Fast,3635
Mosaddeck Hossain,1995-10-12,Right Handed,Right Arm Off Break,4516
Mosharraf Hossain,1981-11-20,Left Handed,Left Arm Orthodox,3536
Shafiul Islam,1989-06-10,Right Handed,Right Arm Fast Medium,3748
Anamul Haque,1992-12-16,Right Handed,,3979
Mominul Haque,1991-09-29,Left Handed,Left Arm Orthodox,3980
Ihsanullah Janat,1997-12-28,Right Handed,,4651
Aftab Alam,1992-11-30,Right Handed,Right Arm Medium Fast,3762
Liton Das,1994-10-13,Right Handed,,4430
Najmul Hossain Shanto,1998-08-25,Left Handed,Right Arm Off Break,4633
Mohammad Mithun Ali,1990-02-13,Right Handed,,4266
Mehidy Hasan Miraz,1997-10-25,Right Handed,Right Arm Off Break,4598
Mustafizur Rahman,1995-06-09,Left Handed,Left Arm Medium,4414
Nazmul Islam,1992-03-21,Left Handed,Left Arm Orthodox,4736
Mohammad Saifuddin,1996-01-11,Left Handed,Right Arm Medium Fast,4677
James M Vince,1991-03-14,Right Handed,Right Arm Medium,4419
Jonathan M Bairstow,1989-09-26,Right Handed,Right Arm Medium,3900
Joseph Edward Root,1990-12-30,Right Handed,Right Arm Off Break,3981
Eoin J G Morgan,1986-10-09,Left Handed,Right Arm Medium,3416
Joseph C Buttler,1990-08-09,Right Handed,,3888
Benjamin Andrew Stokes,1991-04-06,Left Handed,Right Arm Fast Medium,3883
Moeen Munir Ali,1987-06-18,Left Handed,Right Arm Off Break,4271
Christopher Roger Woakes,1989-02-03,Right Handed,Right Arm Fast Medium,3846
Jofra Chioke Archer,1995-01-04,Right Handed,Right Arm Fast,4777
Adil Usman Rashid,1988-02-17,Right Handed,Right Arm Leg Break,3696
Mark A Wood,1990-11-01,Right Handed,Right Arm Fast Medium,4421
Noor Ali Zadran,1988-10-07,Right Handed,Right Arm Medium Fast,3663
Javed Ahmadi,1992-02-01,Right Handed,Right Arm Off Break,3813
Kannaur Lokesh Rahul,1992-04-18,Right Handed,,4137
Rohit G Sharma,1987-04-30,Right Handed,Right Arm Off Break,3474
Virat Kohli,1988-05-11,Right Handed,Right Arm Medium,3600
Vijay Shankar,1991-01-26,Right Handed,Right Arm Off Break,4027
Mahendra Singh Dhoni,1981-07-07,Right Handed,,3243
Kedar M Jadhav,1985-03-26,Right Handed,Right Arm Off Break,4033
Hardik H Pandya,1993-11-10,Right Handed,Right Arm Medium Fast,4399
Mohammed Shami Ahmed,1990-03-09,Right Handed,Right Arm Fast,3993
Kuldeep Yadav,1994-12-14,Left Handed,Left Arm Wrist Spin (Chinaman),4652
Jasprit J Bumrah,1993-06-12,Right Handed,Right Arm Fast,4062
Yuzvendra Singh Chahal,1990-07-23,Right Handed,Right Arm Leg Break,4063
William Thomas Stuart Porterfield,1984-06-09,Left Handed,Right Arm Off Break,3418
Paul Robert Stirling,1990-03-09,Right Handed,Right Arm Off Break,3586
Edmund Christopher Joyce,1978-09-22,Left Handed,Right Arm Medium,3393
Niall John O'Brien,1981-08-11,Left Handed,,3417
Gary Craig Wilson,1986-05-02,Right Handed,,3473
Kevin Joseph O'Brien,1984-04-03,Right Handed,Right Arm Medium Fast,3391
Alex R Cusack,1980-10-29,Right Handed,Right Arm Medium Fast,3475
John F Mooney,1982-10-02,Left Handed,Right Arm Medium,3389
David Trent Johnston,1974-04-29,Right Handed,Right Arm Fast Medium,3385
Timothy James Murtagh,1981-02-08,Left Handed,Right Arm Fast Medium,3958
George Henry Dockrell,1992-07-22,Right Handed,Left Arm Orthodox,3752
Yamin Ahmadzai,1992-07-25,Right Handed,Right Arm Medium Fast,4507
Sean P Terry,1991-01-08,Right Handed,Right Arm Off Break,4569
Stuart W Poynter,1990-10-18,Right Handed,,4326
