,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
3637,David A Warner,27/10/1986,34 years 8 days,Left Handed,Right Arm Leg Break,126 (2009-),
3845,Aaron James Finch,17/11/1986,33 years 353 days,Right Handed,Left Arm Orthodox,129 (2013-),
3756,Steven Peter Devereux Smith,02/06/1989,31 years 155 days,Right Handed,Right Arm Leg Break,125 (2010-),
3969,Glenn James Maxwell,14/10/1988,32 years 21 days,Right Handed,Right Arm Off Break,113 (2012-),
3930,James Peter Faulkner,29/04/1990,30 years 189 days,Right Handed,Left Arm Medium,69 (2013-2017),
3912,Mitchell R Marsh,20/10/1991,29 years 15 days,Right Handed,Right Arm Medium,60 (2011-),
2707,Bradley James Haddin,23/10/1977,43 years 12 days,Right Handed,,126 (2001-2015),
3067,Michael J Clarke,02/04/1981,39 years 216 days,Right Handed,Left Arm Orthodox,245 (2003-2015),
3334,Mitchell G Johnson,02/11/1981,39 years 2 days,Left Handed,Left Arm Fast Medium,153 (2005-2015),
3830,Mitchell Aaron Starc,30/01/1990,30 years 279 days,Left Handed,Left Arm Fast,94 (2010-),
3799,Josh Reginald Hazlewood,08/01/1991,29 years 301 days,Left Handed,Right Arm Fast Medium,51 (2010-),
3910,Matthew Scott Wade,26/12/1987,32 years 314 days,Left Handed,,94 (2012-2017),
3160,Michael E K Hussey,27/05/1975,45 years 161 days,Left Handed,Right Arm Medium,185 (2004-2012),
3595,David J Hussey,15/07/1977,43 years 112 days,Right Handed,Right Arm Off Break,69 (2008-2013),
3929,George John Bailey,07/09/1982,38 years 58 days,Right Handed,Right Arm Medium,90 (2012-2016),
3854,James L Pattinson,03/05/1990,30 years 185 days,Left Handed,Right Arm Fast Medium,15 (2011-2015),
3834,Xavier J Doherty,22/11/1982,37 years 348 days,Left Handed,Left Arm Orthodox,60 (2010-2015),
3728,Mohammad Shahzad,31/01/1988,32 years 278 days,Right Handed,,84 (2009-),
4615,Hazratullah Zazai,23/03/1998,22 years 226 days,Left Handed,Left Arm Orthodox,16 (2018-),
4009,Rahmat Shah,06/07/1993,27 years 121 days,Right Handed,Right Arm Leg Break,73 (2013-),
4239,Hashmatullah Shahidi,04/11/1994,26 years 0 days,Left Handed,Right Arm Off Break,39 (2013-),
3665,Mohammad Nabi,01/01/1985,35 years 308 days,Right Handed,Right Arm Off Break,124 (2009-),
3877,Gulbadin Naib,16/03/1991,29 years 233 days,Right Handed,Right Arm Medium Fast,65 (2011-),
3960,Najibullah Zadran,28/02/1993,27 years 250 days,Left Handed,Right Arm Off Break,67 (2012-),
4484,Rashid Khan,20/09/1998,22 years 45 days,Right Handed,Right Arm Leg Break,71 (2015-),
3875,Dawlat Zadran,19/03/1988,32 years 230 days,Right Handed,Right Arm Fast Medium,82 (2011-),
4714,Mujeeb Ur Rahman,28/03/2001,19 years 221 days,Right Handed,Right Arm Off Break,40 (2017-),
3672,Hamid Hassan,01/06/1987,33 years 156 days,Right Handed,Right Arm Medium,38 (2009-),
3664,Karim Sadiq,18/02/1984,36 years 260 days,Right Handed,Right Arm Off Break,24 (2009-2016),
3667,Mohammad Asghar Afghan,22/12/1987,32 years 318 days,Right Handed,Right Arm Medium Fast,111 (2009-),
3666,Nawroz Mangal,28/11/1984,35 years 342 days,Right Handed,Right Arm Off Break,49 (2009-2016),
3669,Samiullah Shinwari,31/12/1987,32 years 309 days,Right Handed,Right Arm Leg Break,84 (2009-),
3727,Mirwais Ashraf,30/06/1988,32 years 127 days,Right Handed,Right Arm Fast Medium,46 (2009-2016),
3729,Shapoor Zadran,08/07/1987,33 years 119 days,Left Handed,Left Arm Fast Medium,44 (2009-),
3935,Amir Hamza,15/08/1991,29 years 81 days,Right Handed,Left Arm Orthodox,31 (2012-2017),
3461,Tamim Iqbal,20/03/1989,31 years 229 days,Left Handed,,207 (2007-),
4362,Soumya Sarkar,25/02/1993,27 years 253 days,Left Handed,Right Arm Medium Fast,55 (2014-),
3617,Imrul Kayes,02/02/1987,33 years 276 days,Left Handed,,78 (2008-),
3488,Mohammad Mahmudullah,04/02/1986,34 years 274 days,Right Handed,Right Arm Off Break,188 (2007-),
3426,Shakib Al Hasan,24/03/1987,33 years 225 days,Left Handed,Left Arm Orthodox/Left Arm Medium Fast,206 (2006-),
3279,Mushfiqur Rahim,01/09/1988,32 years 64 days,Right Handed,,218 (2006-),
4268,Sabbir Rahman,22/11/1991,28 years 348 days,Right Handed,Right Arm Leg Break,66 (2014-),
2995,Mashrafe Bin Mortaza,05/10/1983,37 years 30 days,Right Handed,Right Arm Fast Medium,220 (2001-),
4324,Taijul Islam,07/02/1992,28 years 271 days,Left Handed,Left Arm Orthodox,9 (2014-),
4299,Taskin Ahmed,03/04/1995,25 years 215 days,Left Handed,Right Arm Fast,32 (2014-2017),
3635,Rubel Hossain,01/01/1990,30 years 308 days,Right Handed,Right Arm Medium Fast,101 (2009-),
4516,Mosaddeck Hossain,10/12/1995,24 years 330 days,Right Handed,Right Arm Off Break,35 (2016-),
